feature1,Rv0033,Rv0040c,Rv0062,Rv0069c,Rv0114,Rv0115,Rv0158,Rv0289,Rv0291,Rv0316,Rv0427c,Rv0450c,Rv0466,Rv0646c,Rv0677c,Rv0824c,Rv0829,Rv0879c,Rv1009,Rv1010,Rv1176c,Rv1303,Rv1319c,Rv1435c,Rv1478,Rv1479,Rv1497,Rv1566c,Rv1572c,Rv1595,Rv1596,Rv1645c,Rv1650,Rv1700,Rv1889c,Rv1979c,Rv2025c,Rv2048c,Rv2113,Rv2139,Rv2145c,Rv2154c,Rv2244,Rv2245,Rv2246,Rv2247,Rv2252,Rv2256c,Rv2280,Rv2328,Rv2377c,Rv2398c,Rv2403c,Rv2404c,Rv2413c,Rv2450c,Rv2451,Rv2478c,Rv2525c,Rv2542,Rv2563,Rv2564,Rv2721c,Rv2722,Rv2756c,Rv2781c,Rv2842c,Rv2846c,Rv2911,Rv2932,Rv2946c,Rv2947c,Rv2948c,Rv2958c,Rv2959c,Rv3000,Rv3003c,Rv3027c,Rv3049c,Rv3137,Rv3171c,Rv3213c,Rv3241c,Rv3341,Rv3342,Rv3362c,Rv3395A,Rv3414c,Rv3439c,Rv3454,Rv3557c,Rv3575c,Rv3597c,Rv3712,Rv3713,Rv3763,Rv3791,Rv3834c,Rv3839,Rvnt40
Rv0427c,-0.04250000000000004,0.0,-0.04083333333333339,-0.07083333333333336,-0.040000000000000036,-0.05083333333333334,-0.06916666666666671,-0.06666666666666671,-0.021666666666666667,0.0,0.0,0.0,-0.007500000000000007,-0.08333333333333337,-0.006666666666666654,-0.07750000000000001,-0.08666666666666667,-0.028333333333333377,-0.07166666666666666,-0.01583333333333331,0.0,-0.05833333333333335,-0.07583333333333331,0.0,0.0,-0.065,0.0,-0.003333333333333355,-0.06666666666666671,-0.006666666666666654,-0.003333333333333355,-0.09083333333333332,0.0,-0.04416666666666669,-0.10833333333333334,-0.09666666666666668,-0.07666666666666672,-0.08499999999999996,-0.05666666666666664,0.0,-0.03999999999999998,-0.04749999999999999,-0.04833333333333334,-0.0683333333333333,-0.08000000000000002,0.0,-0.0641666666666667,0.0,-0.08000000000000002,-0.00833333333333336,-0.019999999999999962,0.0,0.0,0.0,-0.06166666666666665,-0.030833333333333324,-0.04666666666666669,-0.005833333333333357,-0.026666666666666672,-0.08250000000000002,0.0,0.0,-0.07083333333333336,-0.0566666666666667,-0.06666666666666671,0.009166666666666656,-0.08083333333333337,-0.006666666666666654,0.0,-0.09583333333333333,-0.08750000000000002,0.0,-0.08166666666666667,0.0,-0.02083333333333337,0.0,0.0,-0.09749999999999998,0.0,0.0,-0.08000000000000002,0.05416666666666664,0.0,0.0,-0.06166666666666665,-0.046666666666666634,-0.09166666666666667,0.0,0.0,0.0,-0.0641666666666667,-0.027500000000000024,-0.07416666666666666,-0.08416666666666667,-0.04083333333333333,-0.0616666666666667,0.0,-0.03333333333333338,-0.03250000000000003,-0.09333333333333332
Rv0450c,0.003333333333333355,-0.020000000000000018,-0.08499999999999996,-0.02833333333333332,0.020000000000000018,-0.07750000000000001,-0.04416666666666663,-0.011666666666666659,-0.0016666666666666496,0.010000000000000009,0.0,0.0,0.003333333333333355,-0.020000000000000018,0.023333333333333317,0.010000000000000009,0.0008333333333333526,0.0,0.0,-0.07666666666666666,-0.0008333333333332971,0.0,0.006666666666666654,-0.08000000000000002,0.023333333333333317,0.0,-0.024999999999999967,0.023333333333333317,0.003333333333333355,0.0,0.0,-0.06166666666666665,-0.04749999999999999,0.0,-0.016666666666666663,0.0,0.003333333333333355,-0.023333333333333317,-0.031666666666666676,-0.007500000000000007,-0.08499999999999996,0.010833333333333361,0.003333333333333355,0.003333333333333355,-0.06083333333333335,0.009166666666666656,0.0,-0.07500000000000001,0.013333333333333364,0.0,0.0,-0.0008333333333332971,-0.03749999999999998,-0.02833333333333332,-0.0675,0.023333333333333317,0.023333333333333317,0.0,0.003333333333333355,-0.0033333333333332993,0.010000000000000009,0.010000000000000009,0.031666666666666676,-0.08250000000000002,0.003333333333333355,0.0,0.0,0.00833333333333336,0.015000000000000013,0.010000000000000009,-0.007500000000000007,0.010000000000000009,0.010000000000000009,0.007500000000000007,0.020000000000000018,0.006666666666666654,-0.09166666666666667,0.00833333333333336,0.016666666666666663,0.023333333333333317,0.003333333333333355,0.006666666666666654,-0.0658333333333333,0.0,0.015000000000000013,-0.08083333333333331,-0.020000000000000018,-0.007500000000000007,0.015000000000000013,0.010000000000000009,0.0,-0.09666666666666668,0.01416666666666666,0.003333333333333355,-0.09999999999999998,0.0,-0.08499999999999996,-0.031666666666666676,0.0,0.0
Rv0466,-0.01416666666666666,0.0,-0.03750000000000003,-0.07500000000000001,0.06583333333333335,-0.04999999999999999,-0.08500000000000002,-0.10833333333333334,0.06083333333333335,-0.11249999999999999,-0.007500000000000007,0.003333333333333355,0.0,-0.06000000000000005,-0.004999999999999949,-0.008333333333333304,-0.10999999999999999,-0.030000000000000027,-0.004999999999999949,-0.030000000000000027,0.0033333333333332993,0.05833333333333335,-0.08000000000000002,0.0033333333333332993,-0.006666666666666654,0.04083333333333333,0.0,0.041666666666666685,-0.012499999999999956,-0.004999999999999949,0.041666666666666685,-0.043333333333333335,0.0,0.06000000000000005,-0.10749999999999998,-0.004999999999999949,-0.03500000000000003,-0.05833333333333335,-0.06666666666666665,-0.09749999999999998,-0.07250000000000001,0.03666666666666668,-0.04416666666666669,-0.03999999999999998,-0.09750000000000003,0.0,-0.006666666666666654,0.003333333333333355,0.0,0.06333333333333335,0.04250000000000004,0.0008333333333333526,0.003333333333333355,0.0,-0.08416666666666667,-0.015833333333333366,0.03333333333333338,0.065,-0.02999999999999997,-0.09166666666666667,0.0,-0.11249999999999999,-0.09750000000000003,-0.05499999999999999,0.06666666666666671,-0.0008333333333333526,0.0,-0.004999999999999949,-0.11333333333333334,-0.08583333333333337,-0.06833333333333336,0.0,-0.08583333333333337,0.0,0.03749999999999998,0.0,0.0,-0.09000000000000002,0.0,-0.0658333333333333,0.0,0.05250000000000005,-0.005833333333333357,-0.005833333333333357,-0.09500000000000003,-0.04249999999999998,-0.0641666666666667,0.0,-0.10666666666666663,0.0,0.028333333333333377,-0.06583333333333335,-0.09000000000000002,0.0,-0.03749999999999998,-0.0016666666666666496,0.004166666666666652,-0.05750000000000005,-0.0024999999999999467,0.0
Rv0646c,-0.11000000000000004,0.0,-0.04500000000000004,-0.005833333333333357,-0.09333333333333338,-0.03083333333333338,-0.017500000000000016,0.0033333333333332993,-0.09916666666666668,-0.02999999999999997,-0.08333333333333337,-0.020000000000000018,-0.06000000000000005,0.0,0.0016666666666666496,-0.10916666666666669,-0.016666666666666663,-0.055833333333333346,-0.10583333333333333,-0.04416666666666669,-0.03666666666666668,-0.11333333333333334,-0.019999999999999962,-0.010000000000000009,-0.016666666666666663,-0.1166666666666667,0.0,0.033333333333333326,-0.09250000000000003,-0.0016666666666667052,-0.0616666666666667,-0.029166666666666674,-0.025000000000000022,-0.11583333333333334,-0.016666666666666663,-0.0025000000000000022,-0.08583333333333337,0.009999999999999953,-0.0033333333333332993,-0.016666666666666663,-0.015000000000000013,-0.10166666666666668,-0.0591666666666667,-0.065,-0.029166666666666674,-0.030000000000000027,-0.0008333333333333526,-0.02083333333333337,-0.07166666666666671,-0.11833333333333335,0.03916666666666663,-0.051666666666666694,-0.016666666666666663,0.0,-0.04750000000000004,-0.04583333333333334,-0.10166666666666668,-0.05083333333333334,-0.08500000000000002,-0.026666666666666672,0.0,-0.02999999999999997,-0.0050000000000000044,-0.014166666666666716,-0.10750000000000004,0.03583333333333333,-0.11833333333333335,-0.0016666666666667052,-0.031666666666666676,-0.02583333333333332,-0.008333333333333304,0.0,-0.021666666666666667,0.0,-0.03416666666666668,-0.031666666666666676,-0.015833333333333366,-0.020000000000000018,0.0,-0.014166666666666716,-0.1166666666666667,-0.12333333333333335,-0.0025000000000000022,-0.03250000000000003,0.008333333333333304,-0.055833333333333346,-0.007500000000000007,-0.010000000000000009,-0.014999999999999958,-0.030833333333333324,-0.1141666666666667,-0.03666666666666668,0.013333333333333308,0.0,-0.050000000000000044,-0.07333333333333336,-0.04833333333333334,0.008333333333333304,-0.09750000000000003,-0.12583333333333335
Rv0677c,-0.0625,0.0,-0.08916666666666667,0.004166666666666652,-0.004166666666666652,-0.0050000000000000044,0.0008333333333332971,0.050833333333333286,-0.004166666666666652,0.0,-0.006666666666666654,0.023333333333333317,-0.004999999999999949,0.0016666666666666496,0.0,0.05083333333333334,-0.1433333333333333,0.0,-0.01583333333333331,-0.07500000000000001,0.0,-0.004166666666666707,-0.12416666666666665,0.0,0.0,0.05083333333333334,0.0,-0.0050000000000000044,-0.054166666666666696,0.0,-0.0050000000000000044,-0.10916666666666663,0.0,-0.004166666666666652,-0.0025000000000000022,-0.023333333333333373,-0.1166666666666667,0.010833333333333361,-0.12166666666666665,0.0,-0.0050000000000000044,0.0,0.004166666666666652,-0.07916666666666666,0.0,0.0,0.0008333333333333526,-0.0050000000000000044,-0.0050000000000000044,-0.004166666666666652,0.06916666666666665,-0.004166666666666652,0.0,0.0,0.0,-0.07583333333333336,0.0,-0.004166666666666652,0.0,0.0,0.0,0.0,0.008333333333333304,0.004166666666666652,0.0,0.015000000000000013,-0.006666666666666654,0.0,0.0,-0.13666666666666666,0.00833333333333336,0.0,-0.13833333333333336,0.0,0.0,0.0,0.0,0.01416666666666666,-0.0050000000000000044,0.0,-0.0050000000000000044,0.05083333333333334,-0.0050000000000000044,0.0,-0.003333333333333355,-0.006666666666666654,-0.11583333333333334,0.0,0.0,0.0,0.05083333333333334,-0.0008333333333333526,-0.14833333333333332,0.05083333333333334,-0.0008333333333332971,0.03999999999999998,-0.0050000000000000044,-0.11166666666666669,0.05083333333333334,-0.053333333333333344
Rv0824c,-0.019166666666666665,-0.0033333333333332993,-0.08166666666666672,-0.125,0.06666666666666671,-0.0025000000000000022,0.008333333333333304,-0.09500000000000003,0.06666666666666665,0.0,-0.07750000000000001,0.010000000000000009,-0.008333333333333304,-0.10916666666666669,0.05083333333333334,0.0,-0.15083333333333332,-0.09333333333333338,0.05083333333333334,-0.08083333333333331,-0.009166666666666656,0.04250000000000004,-0.1333333333333333,-0.007500000000000007,-0.003333333333333355,-0.019999999999999962,0.0,0.04249999999999998,-0.007500000000000007,0.05083333333333334,0.051666666666666694,-0.08749999999999997,0.0,0.05083333333333334,-0.13249999999999995,0.05249999999999999,0.06666666666666665,0.015833333333333366,-0.14499999999999996,0.0,-0.09999999999999998,0.06666666666666665,-0.09916666666666668,0.07333333333333336,-0.0008333333333333526,0.0,0.06666666666666671,0.0,0.055833333333333346,0.05083333333333334,0.03583333333333333,-0.007500000000000007,0.0,0.0,-0.004166666666666652,-0.07500000000000001,0.05083333333333334,-0.0025000000000000022,-0.04583333333333334,-0.14500000000000002,0.0,0.0,-0.1375,-0.0008333333333333526,-0.013333333333333364,-0.023333333333333373,0.03583333333333333,0.05083333333333334,0.0,-0.13916666666666666,-0.11666666666666664,0.0033333333333332993,-0.13416666666666666,0.0,0.06666666666666665,0.0,-0.009166666666666656,0.01583333333333331,0.0,0.0,0.055833333333333346,0.06666666666666665,0.0,-0.003333333333333355,-0.14833333333333332,-0.09999999999999998,-0.12,0.0,-0.0025000000000000022,0.0,-0.019166666666666665,-0.0016666666666667052,-0.1225,-0.03416666666666668,0.0016666666666667052,0.03249999999999997,0.0,-0.10250000000000004,-0.006666666666666654,-0.010000000000000009
Rv0829,-0.10416666666666669,0.0,-0.06166666666666665,-0.02749999999999997,-0.09666666666666668,-0.046666666666666634,-0.018333333333333313,0.004166666666666652,-0.06,0.00666666666666671,-0.08666666666666667,0.0008333333333333526,-0.10999999999999999,-0.016666666666666663,-0.1433333333333333,-0.15083333333333332,0.0,-0.0633333333333333,-0.14500000000000002,-0.05166666666666664,-0.0683333333333333,-0.11916666666666664,0.015833333333333366,-0.03249999999999997,0.0,-0.14583333333333331,0.0,-0.044999999999999984,-0.11416666666666664,-0.1433333333333333,-0.08166666666666667,-0.010000000000000009,-0.05833333333333335,-0.1175,0.009166666666666656,-0.135,-0.04999999999999999,-0.016666666666666663,-0.010833333333333306,0.0008333333333333526,-0.053333333333333344,-0.10249999999999998,-0.02999999999999997,-0.03666666666666668,-0.020000000000000018,-0.011666666666666659,-0.1175,-0.03916666666666668,-0.14,-0.09916666666666668,-0.04083333333333333,-0.0708333333333333,-0.024999999999999967,-0.029166666666666674,-0.034999999999999976,-0.0675,-0.10583333333333333,-0.08999999999999997,-0.1258333333333333,0.0008333333333333526,0.0,0.00666666666666671,0.0025000000000000022,-0.044999999999999984,-0.10749999999999998,-0.09249999999999997,-0.14166666666666666,-0.1433333333333333,0.004166666666666707,0.010833333333333306,0.0008333333333333526,0.0008333333333333526,0.013333333333333308,-0.025833333333333375,-0.05666666666666664,-0.02999999999999997,-0.0683333333333333,0.010833333333333361,0.0,-0.04249999999999998,-0.14,-0.1275,-0.024999999999999967,0.0,0.005833333333333357,-0.05833333333333335,-0.01416666666666666,-0.027500000000000024,0.004166666666666707,-0.0033333333333332993,-0.14416666666666667,-0.07500000000000001,-0.013333333333333308,-0.12083333333333335,-0.05249999999999999,-0.08916666666666667,-0.049166666666666636,-0.020833333333333315,0.015000000000000013,-0.11666666666666664
Rv0879c,0.0008333333333332971,0.0,-0.013333333333333364,-0.03250000000000003,-0.04500000000000004,-0.02583333333333332,-0.05833333333333335,-0.06583333333333335,-0.011666666666666659,-0.0016666666666666496,-0.028333333333333377,0.0,-0.030000000000000027,-0.055833333333333346,0.0,-0.09333333333333338,-0.0633333333333333,0.0,-0.06833333333333336,-0.010833333333333306,0.0,-0.06583333333333335,-0.060833333333333295,-0.00666666666666671,0.0,-0.06916666666666671,0.0,0.0,0.0,0.0,-0.015833333333333366,-0.05166666666666664,0.0,-0.04833333333333334,-0.07666666666666666,0.0,-0.06583333333333335,-0.04833333333333334,-0.04083333333333333,-0.0708333333333333,-0.049166666666666636,-0.050000000000000044,-0.02416666666666667,-0.03833333333333333,-0.07500000000000001,0.0,0.0008333333333332971,0.0,0.0,-0.031666666666666676,-0.021666666666666667,-0.013333333333333308,0.0,0.0,-0.0625,-0.041666666666666685,-0.053333333333333344,-0.03750000000000003,-0.0641666666666667,-0.07583333333333336,0.0,-0.0016666666666666496,-0.06333333333333335,-0.09333333333333332,-0.03250000000000003,-0.04500000000000004,0.02583333333333332,0.0,-0.08333333333333331,-0.06666666666666665,-0.07,0.0,-0.06666666666666665,0.0,-0.0050000000000000044,0.0,0.0,-0.0625,0.0,-0.05416666666666664,0.0,-0.0025000000000000022,-0.013333333333333364,0.0,-0.06083333333333335,-0.04166666666666663,-0.0641666666666667,0.0,-0.08166666666666667,0.0,0.02583333333333332,-0.02416666666666667,-0.0733333333333333,0.0025000000000000022,-0.012499999999999956,-0.07666666666666672,0.0,-0.030000000000000027,0.08083333333333331,0.0016666666666666496
Rv1009,-0.029166666666666674,0.0,-0.07583333333333336,-0.10666666666666669,-0.004166666666666652,-0.0050000000000000044,-0.0050000000000000044,-0.13666666666666671,0.051666666666666694,0.0,-0.07166666666666666,0.0,-0.004999999999999949,-0.10583333333333333,-0.01583333333333331,0.05083333333333334,-0.14500000000000002,-0.06833333333333336,0.0,-0.05833333333333335,-0.0050000000000000044,0.04083333333333333,-0.10833333333333334,-0.0050000000000000044,0.0,0.055833333333333346,0.0,-0.0050000000000000044,-0.017500000000000016,-0.01583333333333331,-0.0050000000000000044,-0.08999999999999997,0.0,-0.004166666666666652,-0.13416666666666666,-0.03916666666666663,-0.06083333333333335,-0.10749999999999998,-0.12166666666666665,0.0,-0.0050000000000000044,-0.0050000000000000044,-0.08500000000000002,-0.08083333333333331,0.0,0.0,-0.03249999999999997,0.043333333333333335,-0.01583333333333331,-0.004166666666666652,-0.1258333333333333,-0.004166666666666652,-0.0050000000000000044,0.0,0.0,-0.04416666666666669,-0.0050000000000000044,-0.004166666666666652,-0.04249999999999998,-0.1225,0.0,0.0,-0.13833333333333336,-0.006666666666666654,-0.023333333333333373,-0.054166666666666696,0.025833333333333375,-0.01583333333333331,0.0,-0.13166666666666665,-0.11583333333333334,0.0,-0.1141666666666667,0.0,0.0,0.0,0.0,-0.1275,0.0,0.0,-0.01583333333333331,0.06666666666666665,-0.0050000000000000044,0.0,-0.13666666666666666,-0.09499999999999997,-0.10916666666666669,0.0,-0.0033333333333332993,0.0,0.0566666666666667,-0.0008333333333333526,-0.1383333333333333,0.0641666666666667,-0.004999999999999949,0.043333333333333335,-0.0050000000000000044,-0.08583333333333337,0.05083333333333334,-0.017500000000000016
Rv1010,-0.0733333333333333,0.0,-0.007500000000000007,-0.017500000000000016,-0.04416666666666669,-0.025000000000000022,-0.05833333333333335,-0.03750000000000003,-0.007500000000000007,-0.07583333333333331,-0.01583333333333331,-0.07666666666666666,-0.030000000000000027,-0.04416666666666669,-0.07500000000000001,-0.08083333333333331,-0.05166666666666664,-0.010833333333333306,-0.05833333333333335,0.0,-0.0016666666666666496,-0.06666666666666665,-0.053333333333333344,0.0,0.0,-0.06916666666666665,0.0,-0.01416666666666666,-0.059166666666666645,-0.09000000000000002,-0.029166666666666674,-0.033333333333333326,0.0,-0.04916666666666669,-0.06,-0.08916666666666667,-0.07166666666666666,-0.044999999999999984,-0.04083333333333333,-0.060833333333333295,-0.03416666666666668,-0.04999999999999999,-0.010000000000000009,-0.03833333333333333,-0.043333333333333335,0.0,-0.04916666666666669,0.0,-0.08750000000000002,-0.03416666666666668,-0.029166666666666674,-0.0050000000000000044,0.0,0.0,-0.031666666666666676,-0.034999999999999976,-0.053333333333333344,-0.04833333333333334,-0.051666666666666694,-0.04416666666666669,0.0,-0.07583333333333331,-0.04416666666666669,-0.07,-0.041666666666666685,-0.027500000000000024,-0.09250000000000003,-0.09000000000000002,-0.07416666666666666,-0.05499999999999999,-0.059166666666666645,0.0,-0.05083333333333334,0.0,-0.004166666666666652,0.0,0.0,-0.06,0.0,-0.04083333333333333,-0.08250000000000002,-0.11833333333333335,0.0,0.0,-0.04916666666666669,-0.025000000000000022,-0.05083333333333334,-0.009166666666666656,-0.050833333333333286,-0.07750000000000001,-0.08750000000000002,-0.017500000000000016,-0.04999999999999999,-0.09416666666666668,-0.02833333333333332,-0.07166666666666666,0.0,-0.018333333333333368,0.07416666666666666,-0.0675
Rv1176c,0.0,-0.0058333333333333015,0.0,-0.03333333333333338,0.0,-0.013333333333333364,-0.03916666666666668,-0.07166666666666671,0.06,-0.08583333333333332,0.0,-0.0008333333333332971,0.0033333333333332993,-0.03666666666666668,0.0,-0.009166666666666656,-0.0683333333333333,0.0,-0.0050000000000000044,-0.0016666666666666496,0.0,0.0,-0.0683333333333333,-0.021666666666666667,-0.005833333333333357,0.0,-0.005833333333333357,0.044999999999999984,0.0,0.0,0.0,-0.014999999999999958,-0.055833333333333346,0.0,-0.04416666666666663,0.0,0.0,-0.034999999999999976,-0.036666666666666625,-0.07166666666666666,-0.013333333333333308,0.0,0.0,0.0,-0.031666666666666676,-0.10250000000000004,0.0,0.06666666666666665,0.0,-0.0025000000000000022,-0.010833333333333306,0.07666666666666666,-0.06416666666666665,0.0,-0.030833333333333324,0.0,0.0,-0.010833333333333361,-0.011666666666666659,-0.065,-0.10416666666666669,-0.08583333333333332,-0.06916666666666665,-0.02250000000000002,0.0,0.0,0.02583333333333332,0.0,-0.08749999999999997,-0.07416666666666666,-0.04749999999999999,-0.10499999999999998,-0.07416666666666666,0.0,-0.004166666666666707,0.0,0.055833333333333346,-0.07833333333333331,0.0,-0.07249999999999995,0.0,-0.0025000000000000022,0.0733333333333333,-0.005833333333333357,-0.08333333333333331,-0.0008333333333332971,-0.03583333333333333,-0.10333333333333333,-0.07749999999999996,-0.10666666666666663,0.04166666666666663,-0.0008333333333333526,-0.07833333333333331,0.0,0.0,0.0,-0.057499999999999996,-0.029166666666666674,0.08083333333333331,0.0
Rv1303,-0.03583333333333333,0.0,-0.08083333333333337,-0.10833333333333334,0.027500000000000024,0.0,0.0033333333333332993,-0.11333333333333334,0.033333333333333326,0.0,-0.05833333333333335,0.0,0.05833333333333335,-0.11333333333333334,-0.004166666666666707,0.04250000000000004,-0.11916666666666664,-0.06583333333333335,0.04083333333333333,-0.06666666666666665,0.0,0.0,-0.11666666666666664,0.0,0.0,-0.017500000000000016,0.0,0.0,-0.010000000000000009,-0.004166666666666707,0.033333333333333326,-0.08499999999999996,0.0,0.0,-0.11916666666666664,-0.0050000000000000044,-0.065,-0.09499999999999997,-0.11166666666666664,0.0,-0.10583333333333333,-0.03750000000000003,-0.07916666666666666,-0.07416666666666666,0.0,0.0,-0.022499999999999964,0.0,0.03833333333333333,0.02749999999999997,-0.09249999999999997,0.025000000000000022,0.0,0.0,0.025000000000000022,-0.07250000000000001,0.025000000000000022,0.0,0.04249999999999998,-0.12833333333333335,0.0,0.0,-0.13416666666666666,0.029166666666666674,-0.030833333333333324,-0.03833333333333333,0.049166666666666636,-0.004166666666666707,0.0,-0.1225,-0.10499999999999998,0.0,-0.13416666666666666,0.0,0.0,0.0,0.025000000000000022,-0.1375,0.0,0.0,0.03833333333333333,0.04666666666666669,0.030833333333333324,0.0,-0.14500000000000002,-0.08333333333333331,-0.10083333333333333,0.0,-0.1408333333333333,0.0,0.04083333333333333,0.0,-0.12666666666666665,-0.023333333333333317,-0.0733333333333333,-0.04833333333333334,0.0,-0.09416666666666668,0.05833333333333335,-0.021666666666666667
Rv1319c,-0.08749999999999997,0.0,-0.060833333333333295,-0.010833333333333306,-0.09416666666666668,-0.03583333333333333,-0.019166666666666665,0.03250000000000003,-0.057499999999999996,0.0,-0.07583333333333331,0.006666666666666654,-0.08000000000000002,-0.019999999999999962,-0.12416666666666665,-0.1333333333333333,0.015833333333333366,-0.060833333333333295,-0.10833333333333334,-0.053333333333333344,-0.0683333333333333,-0.11666666666666664,0.0,-0.026666666666666672,0.0,-0.11916666666666664,0.0,0.04083333333333333,-0.09833333333333333,-0.13916666666666666,-0.07916666666666666,-0.021666666666666667,-0.02749999999999997,-0.09916666666666668,-0.011666666666666659,-0.1408333333333333,-0.044999999999999984,-0.017500000000000016,-0.0033333333333332993,0.0,-0.019999999999999962,-0.09999999999999998,-0.0708333333333333,-0.05499999999999999,-0.03916666666666668,-0.016666666666666663,-0.09249999999999997,-0.023333333333333317,-0.11916666666666664,-0.08083333333333331,-0.03833333333333333,-0.05499999999999999,-0.010000000000000009,-0.0008333333333332971,-0.03749999999999998,-0.060833333333333295,-0.10333333333333333,-0.0708333333333333,-0.08166666666666667,0.0,0.0,0.0,0.02999999999999997,-0.016666666666666663,-0.09333333333333332,-0.08000000000000002,-0.1258333333333333,-0.13916666666666666,0.0,0.0016666666666666496,-0.011666666666666659,0.0,0.008333333333333304,0.0,-0.05416666666666664,0.0,-0.03583333333333333,0.007500000000000007,-0.016666666666666663,-0.03416666666666668,-0.11916666666666664,-0.10333333333333333,-0.022499999999999964,0.0025000000000000022,0.04083333333333333,-0.05083333333333334,-0.01583333333333331,0.018333333333333313,0.017500000000000016,0.0,-0.11833333333333335,-0.05666666666666664,0.02833333333333332,-0.1275,-0.05416666666666664,-0.07916666666666666,-0.033333333333333326,0.003333333333333355,-0.09416666666666668,-0.125
Rv1435c,0.0,0.0,-0.041666666666666685,-0.035833333333333384,0.034999999999999976,-0.04583333333333334,-0.03083333333333338,-0.03916666666666668,0.04416666666666663,-0.065,0.0,-0.08000000000000002,0.0033333333333332993,-0.010000000000000009,0.0,-0.007500000000000007,-0.03249999999999997,-0.00666666666666671,-0.0050000000000000044,0.0,-0.021666666666666667,0.0,-0.026666666666666672,0.0,0.0,0.026666666666666672,0.0,-0.021666666666666667,0.0,0.0,0.04416666666666663,-0.00666666666666671,-0.053333333333333344,0.044999999999999984,-0.01749999999999996,0.0,0.0,-0.008333333333333304,-0.02833333333333332,-0.05416666666666664,-0.055833333333333346,-0.005833333333333357,0.0,0.0,-0.06333333333333335,-0.004166666666666707,-0.007500000000000007,-0.041666666666666685,0.0,0.04833333333333334,0.07916666666666666,-0.05833333333333335,-0.0008333333333332971,0.0,-0.08333333333333331,0.0,0.0,-0.015000000000000013,-0.010000000000000009,-0.03666666666666668,-0.07,-0.065,-0.04583333333333334,-0.030833333333333324,-0.007500000000000007,0.006666666666666654,0.0,0.0,-0.0683333333333333,-0.033333333333333326,-0.01416666666666666,-0.06666666666666665,-0.033333333333333326,0.0,-0.04583333333333334,0.0,-0.04500000000000004,-0.03583333333333333,0.0,-0.04250000000000004,0.0,-0.0025000000000000022,-0.010000000000000009,0.0,-0.03916666666666668,-0.05499999999999999,-0.026666666666666672,-0.054166666666666696,-0.034999999999999976,-0.07,0.0,-0.06083333333333335,-0.034999999999999976,0.0,-0.015000000000000013,0.0,-0.0641666666666667,-0.031666666666666676,-0.005833333333333357,0.0
Rv1478,0.0,-0.0008333333333332971,0.0,0.0,0.0,0.0,0.0,-0.023333333333333317,-0.0025000000000000022,0.0,0.0,0.023333333333333317,-0.006666666666666654,-0.016666666666666663,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,-0.005833333333333357,0.0,0.0,0.0,0.0,0.0,-0.025000000000000022,0.0,0.0,0.0,0.0,0.0,-0.017500000000000016,0.0,0.0,0.0,0.0,-0.018333333333333313,0.0,-0.033333333333333326,0.0,0.0,-0.005833333333333357,0.0,-0.005833333333333357,-0.04083333333333333,-0.0025000000000000022,-0.006666666666666654,0.0,-0.0025000000000000022,0.03416666666666668,-0.005833333333333357,-0.04999999999999999,-0.04833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,-0.005833333333333357,0.0,-0.0025000000000000022,0.0,-0.0025000000000000022,-0.00833333333333336,0.0,0.0,-0.0016666666666666496,0.0,0.0,-0.011666666666666659,0.0,0.006666666666666654,0.0,-0.023333333333333317,0.0,0.0,-0.04249999999999998,0.0,0.0,-0.0025000000000000022,0.0,-0.02583333333333332,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,-0.0016666666666666496,0.0,-0.006666666666666654,-0.003333333333333355,-0.006666666666666654,-0.005833333333333357,0.0,0.02583333333333332,-0.005833333333333357
Rv1479,-0.03833333333333333,0.0,-0.08416666666666667,-0.11166666666666669,0.04250000000000004,0.0,0.0033333333333332993,-0.11583333333333334,0.030833333333333324,0.0,-0.065,0.0,0.04083333333333333,-0.1166666666666667,0.05083333333333334,-0.019999999999999962,-0.14583333333333331,-0.06916666666666671,0.055833333333333346,-0.06916666666666665,0.0,-0.017500000000000016,-0.11916666666666664,0.026666666666666672,0.0,0.0,0.0,0.0,-0.014166666666666716,0.05083333333333334,0.0,-0.09916666666666663,0.0,0.03083333333333338,-0.13416666666666666,-0.0050000000000000044,-0.0675,-0.09749999999999998,-0.11416666666666664,0.0,-0.09249999999999997,0.030833333333333324,-0.07916666666666666,-0.07416666666666666,0.030833333333333324,0.0,0.04416666666666669,0.0,0.055833333333333346,0.04249999999999998,-0.09833333333333333,0.03999999999999998,0.0,0.0,0.025000000000000022,-0.07666666666666666,0.040000000000000036,0.0,0.025000000000000022,-0.13083333333333336,0.0,0.0,-0.13666666666666666,0.026666666666666672,-0.031666666666666676,-0.04083333333333333,0.049166666666666636,0.05083333333333334,0.0,-0.125,-0.10749999999999998,0.0,-0.125,0.0,0.030833333333333324,0.0,0.02833333333333332,-0.14166666666666666,0.0,0.0,0.055833333333333346,0.04416666666666669,0.0,0.0,-0.14666666666666667,-0.08666666666666667,-0.10333333333333333,0.0,-0.14416666666666667,0.0,0.025000000000000022,0.0,-0.12916666666666665,-0.009166666666666656,-0.07666666666666666,-0.05249999999999999,0.0,-0.09666666666666668,0.055833333333333346,0.055833333333333346
