feature1,Rv0022c,Rv0023,Rv0042c,Rv0047c,Rv0054,Rv0067c,Rv0078,Rv0081,Rv0117,Rv0135c,Rv0158,Rv0195,Rv0232,Rv0238,Rv0302,Rv0324,Rv0330c,Rv0353,Rv0445c,Rv0474,Rv0494,Rv0602c,Rv0623,Rv0653c,Rv0674,Rv0767c,Rv0827c,Rv0880,Rv0891c,Rv0894,Rv0967,Rv1049,Rv1176c,Rv1186c,Rv1189,Rv1219c,Rv1332--Rv1828--Rv0981,Rv1359,Rv1379,Rv1395,Rv1404,Rv1423,Rv1460,Rv1473A,Rv1556,Rv1657,Rv1674c,Rv1675c,Rv1719,Rv1773c,Rv1846c,Rv1956,Rv1990c,Rv1994c,Rv2009,Rv2011c,Rv2017,Rv2021c,Rv2034,Rv2069,Rv2250c,Rv2359,Rv2488c,Rv2506,Rv2595,Rv2642,Rv2745c,Rv2760c,Rv2779c,Rv2827c,Rv3050c,Rv3066,Rv3082c,Rv3095,Rv3124,Rv3133c,Rv3160c,Rv3164c,Rv3167c,Rv3173c,Rv3183,Rv3219,Rv3223c,Rv3246c,Rv3249c,Rv3260c,Rv3291c,Rv3405c,Rv3414c,Rv3416,Rv3417c,Rv3557c,Rv3597c,Rv3676,Rv3830c,Rv3833,Rv3849,Rv3855,Rv3862c,Rv3911
Rv0158,0.0,-0.0050000000000000044,-0.08833333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,-0.0016666666666666496,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,-0.0016666666666666496,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22499999999999998,-0.0016666666666666496,-0.0016666666666666496,0.0,0.0,0.0,0.0,-0.018333333333333313,0.0,0.0,0.0,0.0,-0.020000000000000018,-0.011666666666666659,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,-0.0050000000000000044,-0.013333333333333308,0.0,0.0,0.2783333333333333,0.0,0.0,0.0,0.0,-0.0016666666666666496,-0.006666666666666654,0.0
Rv0195,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.04500000000000004,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666667052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0232,0.0,-0.010000000000000009,-0.036666666666666625,0.0,0.0,0.0,0.0050000000000000044,-0.006666666666666654,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.32999999999999996,-0.003333333333333355,-0.0050000000000000044,0.0,0.22166666666666668,0.0,-0.0050000000000000044,-0.003333333333333355,0.0,0.0,0.0,0.10833333333333328,0.31833333333333336,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,-0.0050000000000000044,-0.003333333333333355,-0.003333333333333355,0.0,-0.010000000000000009,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.3716666666666667,0.0,-0.003333333333333355,0.05166666666666664,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,-0.003333333333333355,-0.003333333333333355,-0.0050000000000000044,-0.0050000000000000044,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.020000000000000018,0.0,0.21666666666666667,0.0,0.0016666666666665941,0.0,-0.0050000000000000044,0.0,0.20166666666666666,0.0,0.0,0.0,0.0,0.2316666666666667,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.41500000000000004,0.0,-0.0050000000000000044,0.0,0.0,-0.010000000000000009,-0.00833333333333336,0.0
Rv0238,0.0,0.0,-0.04833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0302,0.0,0.0,-0.036666666666666625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.32999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.16166666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0
Rv0324,0.0,-0.0016666666666666496,-0.04499999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006666666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0330c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0445c,-0.0050000000000000044,0.2283333333333334,-0.04999999999999993,0.21999999999999997,0.0,0.0,-0.0016666666666666496,0.0,0.0,-0.010000000000000009,-0.006666666666666654,0.0,0.22166666666666668,-0.00833333333333336,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.08999999999999997,-0.0050000000000000044,-0.003333333333333355,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,-0.00833333333333336,0.06333333333333335,0.0016666666666667052,0.0,-0.006666666666666654,0.0,-0.003333333333333355,0.0,0.0,-0.006666666666666654,0.0,-0.0016666666666666496,-0.0050000000000000044,0.20333333333333337,0.0,0.0,-0.0016666666666666496,0.0,-0.0016666666666666496,-0.006666666666666654,-0.0016666666666666496,0.0,0.2666666666666667,-0.0050000000000000044,-0.00833333333333336,0.22166666666666668,-0.006666666666666654,-0.003333333333333355,-0.0050000000000000044,0.2633333333333333,0.0,-0.0050000000000000044,-0.0016666666666666496,-0.006666666666666654,-0.0050000000000000044,-0.0016666666666666496,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.2633333333333333,0.0,0.0,0.0,-0.003333333333333355,-0.003333333333333355,0.0,0.0,0.22166666666666668,-0.006666666666666654,-0.003333333333333355,-0.003333333333333355,0.0,0.0,0.21499999999999997,0.0,0.2283333333333334,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0050000000000000044,0.0,0.1316666666666667,0.0050000000000000044
Rv0474,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16166666666666663,0.0,0.0,0.0,0.08999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011666666666666659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19499999999999995,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,-0.0050000000000000044,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.2466666666666667,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0
Rv0494,0.0,0.0,-0.046666666666666634,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00833333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2283333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,-0.011666666666666659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,-0.00833333333333336,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0602c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,0.0,0.0,0.04500000000000004,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036666666666666625,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,-0.011666666666666659,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,-0.003333333333333355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv0623,0.0,0.0,-0.05166666666666664,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003333333333333355,-0.0016666666666666496
Rv0653c,0.0,0.0,0.0050000000000000044,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016666666666666496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013333333333333308,0.0
Rv0674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016666666666666663,0.0
